20 0.001
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 1 0.8 0.7142857142857143 0.6666666666666666 0.6363636363636364 0.6153846153846154 0.6 0.5882352941176471 0.5789473684210527 0.5714285714285714 0.5652173913043478 0.56 0.5555555555555556 0.5517241379310345 0.5483870967741935 0.5454545454545454 0.5428571428571428 0.5405405405405406 0.5384615384615384
3 1 0.7142857142857143 0.6 0.5384615384615384 0.5 0.47368421052631576 0.45454545454545453 0.44 0.42857142857142855 0.41935483870967744 0.4117647058823529 0.40540540540540543 0.4 0.3953488372093023 0.391304347826087 0.3877551020408163 0.38461538461538464 0.38181818181818183 0.3793103448275862
4 1 0.6666666666666666 0.5384615384615384 0.47058823529411764 0.42857142857142855 0.4 0.3793103448275862 0.36363636363636365 0.35135135135135137 0.34146341463414637 0.3333333333333333 0.32653061224489793 0.32075471698113206 0.3157894736842105 0.3114754098360656 0.3076923076923077 0.30434782608695654 0.3013698630136986 0.2987012987012987
5 1 0.6363636363636364 0.5 0.42857142857142855 0.38461538461538464 0.3548387096774194 0.3333333333333333 0.3170731707317073 0.30434782608695654 0.29411764705882354 0.2857142857142857 0.2786885245901639 0.2727272727272727 0.2676056338028169 0.2631578947368421 0.25925925925925924 0.2558139534883721 0.25274725274725274 0.25
6 1 0.6153846153846154 0.47368421052631576 0.4 0.3548387096774194 0.32432432432432434 0.3023255813953488 0.2857142857142857 0.2727272727272727 0.26229508196721313 0.2537313432835821 0.2465753424657534 0.24050632911392406 0.23529411764705882 0.23076923076923078 0.2268041237113402 0.22330097087378642 0.22018348623853212 0.21739130434782608
7 1 0.6 0.45454545454545453 0.3793103448275862 0.3333333333333333 0.3023255813953488 0.28 0.2631578947368421 0.25 0.23943661971830985 0.23076923076923078 0.2235294117647059 0.21739130434782608 0.21212121212121213 0.20754716981132076 0.20353982300884957 0.2 0.1968503937007874 0.19402985074626866
8 1 0.5882352941176471 0.44 0.36363636363636365 0.3170731707317073 0.2857142857142857 0.2631578947368421 0.24615384615384617 0.2328767123287671 0.2222222222222222 0.21348314606741572 0.20618556701030927 0.2 0.19469026548672566 0.19008264462809918 0.18604651162790697 0.18248175182481752 0.1793103448275862 0.17647058823529413
9 1 0.5789473684210527 0.42857142857142855 0.35135135135135137 0.30434782608695654 0.2727272727272727 0.25 0.2328767123287671 0.21951219512195122 0.2087912087912088 0.2 0.1926605504587156 0.1864406779661017 0.18110236220472442 0.17647058823529413 0.1724137931034483 0.16883116883116883 0.1656441717791411 0.16279069767441862
10 1 0.5714285714285714 0.41935483870967744 0.34146341463414637 0.29411764705882354 0.26229508196721313 0.23943661971830985 0.2222222222222222 0.2087912087912088 0.19801980198019803 0.1891891891891892 0.18181818181818182 0.17557251908396945 0.1702127659574468 0.16556291390728478 0.16149068322981366 0.15789473684210525 0.15469613259668508 0.1518324607329843
11 1 0.5652173913043478 0.4117647058823529 0.3333333333333333 0.2857142857142857 0.2537313432835821 0.23076923076923078 0.21348314606741572 0.2 0.1891891891891892 0.18032786885245902 0.17293233082706766 0.16666666666666666 0.16129032258064516 0.1566265060240964 0.15254237288135594 0.14893617021276595 0.1457286432160804 0.14285714285714285
12 1 0.56 0.40540540540540543 0.32653061224489793 0.2786885245901639 0.2465753424657534 0.2235294117647059 0.20618556701030927 0.1926605504587156 0.18181818181818182 0.17293233082706766 0.16551724137931034 0.1592356687898089 0.15384615384615385 0.14917127071823205 0.14507772020725387 0.14146341463414633 0.1382488479262673 0.13537117903930132
13 1 0.5555555555555556 0.4 0.32075471698113206 0.2727272727272727 0.24050632911392406 0.21739130434782608 0.2 0.1864406779661017 0.17557251908396945 0.16666666666666666 0.1592356687898089 0.15294117647058825 0.14754098360655737 0.14285714285714285 0.13875598086124402 0.13513513513513514 0.13191489361702127 0.12903225806451613
14 1 0.5517241379310345 0.3953488372093023 0.3157894736842105 0.2676056338028169 0.23529411764705882 0.21212121212121213 0.19469026548672566 0.18110236220472442 0.1702127659574468 0.16129032258064516 0.15384615384615385 0.14754098360655737 0.14213197969543148 0.13744075829383887 0.13333333333333333 0.1297071129707113 0.12648221343873517 0.12359550561797752
